participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217
430,,1,59,41,15,1,,,,,1,,,,1,-1,,-1,,,,,,,1,,,1,,,-1,,,-1,,,,,,,0,,1,,,,,,1,,1,,-1,-1,,,,,1,,1,,,0,1,,,1,,,,,1,0,,-1,,,1,,,1,,,-1,,,,,,,,,,,-1,-1,1,,,,-1,,1,1,,1,1,,,,,,,,,,1,1,,,,1,1,1,,,,1,,,,,1,,,1,1,1,,1,1,,,,,,,,,1,1,1,,1,-1,,,,,1,-1,,,1,-1,,,-1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,,0,64,43,11,1,1,,1,,,,1,-1,,,,0,,1,,,1,,,,,,1,1,,,,,1,,,1,,,-1,-1,,1,,,,,,,,1,,,-1,1,0,,,1,,,,,,-1,,,,,1,,,,,,,,,1,,,,,,,1,0,,,1,1,,1,,,1,1,,,1,0,-1,1,,,,-1,,,1,1,,1,1,1,,1,,1,1,,,1,,1,1,,,1,1,,,,1,,,0,1,,1,-1,0,0,,,,1,,,,-1,-1,,,1,,,,,,0,,,,,1,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,,4,176,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,,0,45,23,15,1,-1,,,1,,,,,1,,0,1,,,,1,,,,,,,,,,-1,1,-1,1,,,,,,,,,,,-1,,,0,-1,-1,,,,,,,,,,,,1,1,-1,,,,,,,,,,,,,,1,1,0,0,,,,-1,,,,,1,,,,,0,,,-1,,,,,,,,,-1,1,,,,,,,,,,1,,,,,,,1,-1,,-1,1,1,1,-1,,,,,,,,,,,,-1,,1,,,,,,,,,1,1,,,,,,1,1,0,,,,,,,,-1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,,0,39,21,16,1,,,,1,-1,,-1,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,0,,1,,,,,,,,,,,,,,,,-1,-1,-1,,,1,1,,,1,,,,,,-1,,,,,,,,,,1,,,,1,-1,,,1,,,,,,1,,,,,,,,,1,,,1,-1,,,1,-1,,,,,,,1,1,,1,1,,,,,,,,,,-1,,,-1,,-1,,,,,,,,,1,,,,1,,,1,,-1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,,0,35,17,8,1,,,,,1,1,0,-1,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,0,,1,,1,,,,,,,,,,,,,,1,,,1,,,-1,,,,,,1,,0,,,,,,,,,,,1,-1,,,,,,,,,,,0,,,,,,,,,,,-1,,0,0,-1,,,,,,,,,0,0,,,,,,,0,,,1,,,1,,,,1,,,,,,,,,,,,,,0,,,,,,,1,,,,,-1,,-1,,,,,,-1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,,0,176,66,58,0,1,-1,0,0,-1,-1,-1,1,-1,0,1,1,1,0,0,-1,-1,1,0,-1,0,-1,-1,0,1,1,-1,0,1,1,0,-1,-1,-1,0,1,-1,-1,0,1,0,1,-1,0,-1,0,0,0,1,0,-1,0,0,1,1,-1,1,-1,0,0,0,-1,0,0,-1,-1,-1,-1,1,1,1,1,0,-1,1,-1,1,1,0,-1,1,-1,1,1,0,1,0,1,0,1,1,1,-1,-1,0,1,-1,1,-1,1,0,0,1,1,0,-1,0,1,-1,1,0,1,1,1,1,0,-1,1,1,-1,-1,0,1,0,0,-1,0,-1,0,1,1,-1,1,-1,0,1,-1,1,-1,0,0,-1,0,1,-1,1,1,-1,1,1,0,-1,-1,1,-1,1,0,0,1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,,0,176,89,65,1,1,0,1,1,-1,-1,-1,1,-1,1,0,1,1,0,-1,1,1,-1,-1,1,-1,1,-1,1,1,1,-1,0,1,1,1,1,-1,-1,0,1,-1,0,-1,-1,-1,1,0,1,-1,1,0,1,1,1,-1,-1,1,1,1,-1,0,-1,-1,-1,1,-1,-1,0,-1,-1,-1,0,1,0,1,-1,1,-1,1,0,0,1,0,-1,-1,-1,0,1,-1,1,-1,1,1,1,1,1,1,1,-1,0,-1,0,-1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,0,-1,1,-1,-1,1,0,1,1,-1,-1,-1,-1,0,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,-1,1,1,-1,-1,1,1,0,-1,1,-1,1,1,-1,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,,0,176,110,24,1,1,1,1,1,0,0,0,0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,-1,1,1,1,1,1,1,1,-1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,-1,0,1,1,1,0,-1,-1,-1,0,1,0,0,0,0,1,-1,1,0,1,0,0,-1,1,1,-1,1,-1,1,0,1,1,-1,0,1,1,1,0,1,-1,1,1,1,1,1,-1,0,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,-1,-1,1,-1,-1,1,0,0,-1,1,0,1,1,1,1,1,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,,0,88,51,33,1,0,,,,,,,,1,,1,1,1,,,,-1,,1,,-1,-1,,1,1,,-1,1,,1,,,,,-1,1,,-1,-1,1,,0,1,-1,,,,,1,1,-1,-1,,1,1,,1,0,-1,-1,,,,1,-1,-1,1,,,,,,,-1,1,,,1,,,-1,,-1,1,1,,-1,1,,1,,,-1,,1,,,1,,,-1,-1,-1,1,0,1,,,,1,,1,,1,1,1,,,1,,-1,,,-1,,,,-1,1,-1,1,,1,1,-1,1,-1,,,,1,,,1,1,1,,,,,,-1,,,,,1,,1,1,1,,1,,-1,,-1,,,-1,-1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,,0,31,24,0,1,1,1,,,,,,,,,,1,1,,,,1,,1,,,0,,,,,0,,,,,0,,,,,,,,,1,,,,,1,,,,,,,1,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,1,,,,1,,,,0,,,0,,,1,,,,1,,,,,,,,,,,,,1,,,,0,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,,0,27,16,10,1,,-1,,,1,,,,-1,,,,,,,,,,-1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,-1,,,-1,-1,,1,,,,,1,,,,-1,,,,,,,0,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,1,,1,,,,,-1,,,,,,,,,,,,,,,,,1,,1,1,,,,,-1,,,,,,,,,,,,1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,,0,49,23,12,1,,1,1,1,,-1,,-1,,,,,-1,,,-1,,,1,,,,,,,,,,,,,-1,,0,,,1,,,,-1,,,0,,,-1,0,,,1,,,,0,,,-1,0,,,,,,,,,1,,,0,,1,,,,1,,,,,,,,,,,,-1,0,0,,,1,,,,1,1,-1,,,,,,,,,,1,0,,,,,-1,,,,1,,,,,1,,,,,,,0,,,,,1,1,,,1,,,0,,,1,,1,,,,,,,,0,,,,,,,,-1,,,0,,,,,1,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,,0,21,8,7,-1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,0,,,,,,1,,1,,,,,-1,,,,,,,,1,,,,,,,,,,1,,,,,,,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,-1,,,1,,,,,,,-1,,,,,-1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,,1,140,88,49,1,1,,1,1,1,-1,-1,1,,1,1,,1,-1,,,1,1,,1,-1,,,,,-1,1,,1,1,1,-1,1,-1,-1,1,1,1,1,1,-1,,1,1,-1,1,-1,1,1,1,1,-1,1,,1,1,1,1,,-1,-1,-1,,1,-1,-1,1,-1,1,1,1,1,,0,1,1,,1,-1,,-1,-1,-1,,1,1,-1,1,1,1,1,-1,-1,,,,-1,0,-1,-1,-1,-1,,1,,1,-1,1,-1,1,1,,1,1,1,1,1,1,1,-1,1,1,,,-1,1,-1,,1,1,,,1,1,,-1,,-1,,-1,1,-1,1,-1,,1,-1,1,,1,1,-1,-1,,-1,1,1,1,,-1,1,1,,-1,-1,1,-1,1,1,1,-1,1,1,1,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,,0,60,23,24,1,,,1,,-1,,-1,,,,1,1,1,-1,,-1,,,0,,,0,,,,,,,-1,,,,1,,-1,,,-1,-1,,,0,,,-1,,,,1,,,-1,,,0,,0,,0,0,1,,-1,-1,,-1,,0,1,1,,-1,,-1,0,,,1,,,,-1,,1,-1,0,,,1,,1,,-1,,,,1,,,,,-1,,,,,,,,,,0,,,,0,,,,,,-1,,,,1,,,1,-1,,1,,,,-1,,,,,,,,,,,,,1,,,,,,-1,,,,,,,,,1,-1,,,1,0,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,,0,36,9,6,1,,0,,,,,,,-1,,,1,,0,,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,1,,,,1,,,,,,0,0,,,,,,,-1,0,,,,,,,,0,0,,,-1,,,0,0,,,,0,,,,,,,,,0,-1,,0,,,,,,,,1,,1,0,,,,,,,,,,,,,,,,,,0,,1,,,,,,-1,,,,,,,,,0,,0,,,,,,,,0,,,,,,,,,,,0,,0,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,,0,177,107,43,1,-1,1,1,-1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,0,-1,0,1,1,1,1,1,0,1,0,1,0,-1,1,1,1,-1,1,1,1,-1,1,0,1,1,1,1,-1,0,1,1,-1,1,-1,-1,-1,0,1,1,0,0,,0,-1,-1,-1,1,0,-1,-1,1,1,-1,0,-1,1,-1,1,1,-1,-1,1,1,1,0,1,-1,1,0,1,1,-1,1,-1,-1,0,1,1,1,1,1,1,1,-1,1,1,1,1,0,-1,0,-1,1,1,0,1,0,1,0,1,1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,,-1,1,0,1,-1,1,-1,1,1,1,1,1,1,0,0,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,,0,75,46,22,1,,-1,,,-1,,-1,1,,1,,,1,0,1,,,,,,,-1,,,,1,1,1,-1,1,1,,,,,,,-1,-1,,,0,1,,0,,1,,,,-1,1,1,1,,,1,,,-1,,-1,,,,-1,-1,1,1,1,,1,1,,,,1,,,,1,,,-1,-1,,,,,,,,,,,1,1,1,,-1,-1,-1,,1,1,,1,,,,,1,1,,1,1,,0,,,-1,0,-1,1,,,,,,,1,,1,,,,,-1,,1,,,1,0,,1,,0,,,,-1,,1,1,,,1,,,,,,,-1,1,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,,0,13,7,0,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,1,,,1,,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,,0,45,13,3,0,0,,,,,,,,,,1,,,0,,,,,,,,,,1,,,1,,1,,,,,,,,,0,1,0,,,,,,,,,,,,,1,1,,,,,0,,,1,,0,,,,,,0,,,-1,0,,,,0,0,,,,-1,,,0,,,0,0,0,,0,,,,,,,,,-1,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,0,,,,0,1,0,,1,0,,0,0,,,,,,,0,0,,,,1,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,,0,172,94,38,1,1,0,1,1,,-1,-1,1,-1,1,,1,1,,-1,1,,-1,1,0,-1,1,-1,1,1,1,1,1,0,,1,1,1,-1,0,1,1,0,,1,-1,1,0,,0,1,-1,1,1,,-1,-1,1,1,-1,0,1,1,-1,0,1,-1,-1,1,1,,1,0,1,0,1,0,1,1,1,0,1,1,-1,,1,-1,0,0,-1,1,-1,1,1,0,1,0,-1,1,0,1,-1,1,1,1,0,1,-1,0,-1,1,1,1,1,-1,1,-1,1,1,,1,,1,1,-1,-1,,0,1,-1,,-1,1,1,1,1,1,1,1,,-1,1,0,1,0,1,1,,,0,0,,0,1,,1,1,-1,1,,,1,0,1,0,0,1,1,1,-1,1,-1,1,1,,-1,-1,0,1,1,0,0,0,1,0,,1,1,1,1,,,0,,,,0,,,,,,,,,,,,0,0,,,-1,0,1,0,-1,,,,,
557,,1,60,37,17,1,-1,1,,-1,1,1,,,,1,1,,1,,0,,,-1,,,1,1,,,,,,,,,1,,,,,,,,1,-1,,,,,1,,,,,1,1,1,,1,1,,,,-1,,,,,,1,1,,,,,,,,,,0,1,,-1,,,,,,,,,,0,-1,,,,,0,,-1,,1,-1,,-1,-1,,,,1,,,-1,,,,,,,,-1,,1,,,,,,1,1,,,1,1,,,1,,1,,,,,,,-1,,,,1,,1,1,,,,,,,-1,-1,,,,,,,,0,,1,1,,,,,-1,1,,0,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,,0,93,47,21,1,,,,,-1,,0,0,,1,,0,1,,,-1,,,,,,1,,,,,0,,,1,,-1,1,-1,,0,-1,0,-1,1,,1,0,-1,,,1,,,0,,1,1,,,-1,0,1,0,,1,-1,,0,1,-1,-1,,,-1,,1,1,0,,0,1,0,1,0,,1,,,1,0,0,,1,1,,1,,,0,,-1,,-1,,1,,,1,,0,,,,1,,1,1,1,,1,,,-1,,,1,,,-1,1,0,,1,,,1,,0,1,1,0,1,,,,,1,0,,,0,1,,1,,0,,,,,1,,,-1,,,,1,-1,,-1,,1,-1,,1,1,,,,,-1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,,0,71,35,21,-1,1,,,0,,,,1,-1,1,,,,,0,,,0,1,,,,,,1,,-1,0,,,1,,,-1,,,,-1,,-1,-1,,1,,,,,,1,,1,-1,,,,-1,,,,0,,,1,1,0,,,,1,1,,0,,,,,,1,,,1,,,,,,,,,,,0,,0,1,,1,,,0,-1,,1,0,,,,1,,,1,,,1,,,1,1,,1,-1,,,,-1,,,,,0,,,,1,,-1,,-1,,1,,,1,0,,-1,,,,,,-1,,,-1,,,1,,,,1,1,,,1,-1,-1,,0,-1,1,,1,1,,-1,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,,0,24,8,8,0,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,0,0,,,,,-1,-1,,-1,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,0,,,,,-1,,,,,,,,,,,,1,,1,,,,,1,,,0,,,,,,,,,,,,,-1,,,,,,,,,,0,,-1,,,,,1,,0,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,-1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,,0,50,34,8,1,1,,,1,,,1,,1,1,,,1,,,1,,,,,,1,,,-1,,,,,,,,,,0,,1,,1,,,,,,,,,,,,1,1,,1,,,,,,0,,,,1,,-1,,,,,,1,,0,,,,,,,-1,,-1,0,,,,1,,-1,,1,,,,,,,,,,1,,0,1,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,1,,,,,,,,-1,0,1,,,,1,1,,,,,1,1,,1,,,,,,,,,0,,-1,,-1,,,,,1,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,,0,19,4,8,0,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,0,-1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,0,,,,,,,0,,-1,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,1,,,-1,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-1,,1,,,,,,,,,,,,-1,,,,,,,,,,,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,,0,39,23,14,1,-1,,,-1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,-1,,,-1,,,,,,1,,1,1,1,,,,,,-1,,-1,1,,-1,,,-1,,,,-1,,,,,,,,1,,,-1,,,,,,,,-1,,,1,,,,,,,,,,,,1,,,0,,,1,,,,,,-1,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,0,,1,1,1,,,,,1,1,,,,,,,,,,,,1,-1,,,,,,,,,-1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,,0,109,70,16,1,-1,,1,,1,1,,,,1,,,1,,0,1,,-1,1,0,1,1,1,1,1,-1,1,,,1,,-1,,1,-1,1,1,,,,1,1,1,1,0,,0,,,1,1,,1,1,,1,1,1,,-1,1,,,,,0,1,,1,-1,0,,1,1,0,0,1,1,1,,-1,,0,0,,-1,,,-1,-1,1,,,,,,-1,,0,-1,1,1,1,1,,1,,0,1,1,1,-1,,-1,,,1,,,1,,,1,,,,1,1,1,1,1,,,,1,,0,,0,,0,0,,,1,,,1,1,,,,0,0,,0,,-1,,,,,,,0,0,0,,1,,1,1,,,1,1,,,1,,1,1,1,1,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,,0,98,22,10,1,0,0,,0,-1,,,,,0,-1,0,1,,,-1,0,,,,0,,0,,,,0,0,,0,1,,,0,0,0,0,0,0,,,1,,,0,0,0,,0,,,,0,,-1,,,0,0,,-1,,,0,,,,,,,,0,,,,,1,1,,0,,,1,,,0,,,,,,-1,0,,,0,0,0,1,0,,0,0,,1,,,,0,0,1,,1,0,0,0,,,,0,-1,,0,,0,,,,,0,1,0,,0,,0,0,,0,1,,0,0,0,,0,,0,,1,1,,,1,0,0,,,0,,0,1,1,,-1,1,-1,,0,,,0,,-1,1,1,,,,0,0,0,,0,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,,0,31,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,0,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,0,,,,,0,,0,0,,,0,0,,,,,0,,,,,,,,,,,,,,0,,,,,,0,,,0,,,,0,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,0,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,,0,45,26,10,0,,,,,-1,0,,,1,,,0,,-1,,,,1,,,,,,1,,1,,,-1,,,,,,1,1,0,,1,,,,,,,,,,,,-1,,,1,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,1,1,,,,,1,,,,,1,,,1,,,,,,,,,1,-1,0,-1,0,,,,,,,-1,,0,,,,,,,,0,,,,1,,,,-1,-1,,,1,,,,0,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,
620,,0,24,5,15,-1,,,1,,,,-1,,,,,,,-1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,1,1,,0,,,,-1,0,,,-1,,-1,,,,,,,,,,,,,,,,,,,,,-1,,-1,,,,,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,0,,,,,,,-1,,,,,,,,,,,,1,-1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,,7,218,119,25,1,1,1,1,1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,-1,1,0,1,-1,1,1,0,1,1,0,0,1,1,1,0,1,1,-1,-1,0,-1,1,1,1,0,0,-1,1,1,0,1,0,0,0,0,1,1,0,-1,0,-1,0,0,0,0,1,0,0,0,-1,0,-1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,-1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,-1,0,1,0,0,0,0,-1,0,1,-1,0,0,1,-1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,-1,0,1,-1,0,0,1,-1,1,1,0,-1,-1,-1,1,1,0,1,-1,-1,0,1,1,1,0,0,1,0,1,1,1
638,,5,148,68,43,1,1,,1,1,-1,-1,-1,0,,1,,,1,0,1,,1,,1,0,,0,0,,,0,-1,0,,1,,0,,,0,,,1,0,,-1,1,1,1,,1,0,1,1,,,-1,,,1,,1,,-1,-1,,,,1,0,-1,,-1,1,1,1,1,,-1,0,-1,1,,-1,,0,-1,0,0,0,1,-1,,,0,0,0,1,1,1,-1,-1,1,1,-1,0,,,1,1,,0,,,,1,1,0,1,1,1,1,,1,,-1,-1,,,-1,1,,1,1,1,,,1,1,-1,-1,-1,0,-1,0,1,,0,,1,,,0,,1,1,-1,-1,1,-1,,-1,0,,-1,,0,0,1,,,-1,1,1,,,1,1,1,1,0,-1,0,,-1,,1,0,1,1,-1,-1,,0,-1,-1,,,-1,0,,0,-1,-1,-1,,1,0,,,1,1,1,-1,,,,1,-1,1,1,
650,,0,218,96,17,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,-1,0,1,0,1,0,1,0,-1,0,0,0,1,1,1,1,0,1,1,1,0,1,-1,1,1,0,1,1,1,1,0,0,1,0,0,-1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,-1,0,0,-1,-1,0,1,-1,0,0,1,0,0,0,0,1,0,0,0,1,1,-1,1,0,0,0,0,1,0,1,1,0,0,0,0,-1,0,-1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,-1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,-1,-1,1,1,1,0,1,-1,-1,-1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1
658,,0,16,5,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,-1,,,,,1,,,,,,,,-1,,,,,0,1,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,-1,,,,,,,,,,,,,,,-1,,,,,,,,,,,,1,,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,
668,,0,120,68,11,1,1,1,,1,0,,,0,0,,1,1,,1,,1,,,1,0,,,,,1,,1,,1,1,1,,1,0,,1,,,,1,0,1,1,1,-1,1,,,,1,0,,,1,,1,0,1,-1,,1,1,,,,,,1,,0,1,1,0,0,1,,1,,-1,0,1,-1,0,,,,1,,,1,0,0,0,1,0,0,-1,1,,-1,,0,1,0,0,1,1,,,0,,,,,1,,0,0,,,1,,0,1,0,,1,1,,,,,,,,1,,,0,0,1,,,,,0,,,1,,,,1,1,1,,,1,0,0,0,1,0,,,1,,0,,,,1,,,,1,,0,1,0,,1,1,,0,-1,1,,1,,-1,-1,0,,1,0,,-1,-1,,,1,,0,,,1,0,,,1,1,1,,,1,
671,,0,55,34,10,0,,,,,1,,,,1,,,,1,,,,1,,,,1,,,,,,,,1,,,,-1,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,-1,,,0,,,,,,,,,1,1,,,,,,,,,,,1,-1,1,-1,1,,,,,,,0,,,,-1,,,1,,0,,1,,,0,,,,,1,1,,,,,,,,,,,,,1,1,1,1,,1,,0,,,0,,,,,-1,,0,0,,,,,,1,,,,-1,,,,-1,,,,,,-1,,,1,,,1,,1,1,,,,,,,1,,-1,,,,1,1,,,,,1,,,,,,,1,,1,,,,,,,1,,,1,,0,
