participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
63,,0,18,8,2,,1,1,0,0,-1,1,1,1,0,0,0,0,1,1,1,-1,0,0,,,,,,
64,,1,17,13,3,,-1,1,1,1,1,1,1,-1,-1,0,,1,1,1,1,,1,1,1,,,,,
65,,0,14,8,5,,1,-1,1,0,1,1,,,,1,-1,1,,,1,1,-1,-1,-1,,,,,
67,,0,21,16,4,,1,1,1,0,-1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,-1,1,,,
69,,1,23,13,1,,1,0,1,0,-1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,
73,,0,12,8,0,,1,,,0,,1,,1,1,0,1,,,1,1,0,,,0,,1,,,
75,,0,16,11,2,,1,1,,1,,1,0,,1,1,0,1,0,1,1,-1,-1,1,,,1,,,
76,,0,21,14,2,,1,1,1,1,1,1,1,1,1,0,1,1,0,-1,1,0,0,-1,1,0,1,,,
78,,0,19,14,4,,1,-1,,1,-1,1,1,1,1,1,,1,1,-1,1,0,-1,1,1,1,1,,,
80,,0,21,18,1,,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,,,
84,,0,22,18,4,,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,,
88,,0,11,0,0,,0,0,,0,0,0,0,,0,0,,,,,,,0,0,,0,,,,
90,,0,23,13,8,,-1,1,1,-1,1,-1,1,1,1,-1,0,1,1,-1,1,-1,-1,-1,1,1,1,1,0,
92,,0,23,7,8,,0,-1,0,-1,1,-1,0,1,-1,-1,0,1,1,-1,1,1,0,0,1,-1,-1,0,0,
93,,0,23,11,12,,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,
94,,0,23,15,2,,1,1,1,1,1,1,-1,1,1,0,1,1,1,0,1,1,-1,0,0,1,1,0,0,
95,,0,4,4,0,,1,1,,1,,,,,,,,,1,,,,,,,,,,,
96,,0,14,13,0,,1,1,1,,1,1,1,,1,1,,,1,1,,1,,,1,,1,,0,
98,,0,23,21,2,,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,
99,,0,21,14,1,,1,0,0,1,1,1,1,1,0,1,1,1,,1,1,-1,0,,0,1,1,1,0,
100,,0,7,5,1,,1,,,,,1,,,0,1,,,1,,,,,-1,,,,1,,
101,,0,23,19,3,,1,1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
102,,0,9,5,0,,0,1,,,1,0,,1,,,,,,1,0,,,0,,,1,,,
103,,0,23,19,4,,-1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,
104,,0,23,9,4,,0,-1,0,1,1,1,0,1,0,1,1,-1,0,0,1,1,0,-1,-1,0,0,1,0,
105,,0,23,17,2,,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,0,0,0,1,1,1,1,
106,,0,23,12,5,,1,0,0,1,1,1,1,1,1,0,-1,1,0,1,-1,0,-1,-1,-1,1,1,1,0,
108,,1,24,14,1,,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,-1,0,1,1,1,1,0,0,1
112,,0,21,17,1,,0,1,0,,1,1,1,1,1,0,1,1,1,,,1,-1,1,1,1,1,1,1,1
115,,0,16,11,1,,1,1,1,,1,,0,1,1,-1,,1,1,1,,0,,,1,0,,1,0,
121,,0,8,5,1,,0,,1,,,,,1,,-1,,,,,,,,1,1,,1,,0,
122,,0,24,21,1,,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1
124,,0,12,8,1,,1,,,,1,,,,,-1,1,,,1,,,0,0,1,,1,1,0,1
125,,0,24,18,1,,1,0,1,1,1,1,1,1,1,1,-1,1,1,1,1,0,0,0,1,1,1,1,1,0
127,,0,24,20,4,,1,-1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1
128,,0,19,16,3,,1,1,1,1,-1,1,1,1,1,1,1,1,,,1,,-1,,,1,1,1,-1,1
130,,0,6,6,0,,1,,1,1,,,,1,,1,,,,,,,,,,,,1,,
131,,0,18,12,5,,1,1,-1,,1,1,,,1,1,-1,1,-1,1,1,,-1,-1,1,1,1,,0,
133,,0,8,6,0,,1,,,,1,,1,1,1,,,1,,,,,,,0,,,,0,
134,,0,14,11,1,,-1,1,,0,,1,,1,,,,1,,1,1,,1,1,1,,1,,0,1
137,,0,24,14,9,,1,1,-1,-1,1,-1,1,1,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,0,1
138,,0,24,20,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1
2,,0,14,9,0,,,1,0,0,0,1,0,1,1,1,1,1,1,1,0,,,,,,,,,
21,,0,3,2,1,,,-1,,,,1,,,1,,,,,,,,,,,,,,,
29,,0,11,6,2,,,0,,1,,,1,1,1,-1,1,,1,-1,0,0,,,,,,,,
34,,0,13,10,1,,,1,1,1,-1,,1,1,1,1,1,1,,1,0,0,,,,,,,,
41,,0,1,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,
56,,0,15,11,0,,,1,0,1,1,1,1,1,1,0,1,,1,0,1,1,0,,,,,,,
66,,1,19,12,3,,,0,,1,-1,1,1,1,-1,1,1,1,-1,1,1,0,0,0,1,1,1,,,
70,,0,9,8,1,,,-1,1,,,1,,,,1,,1,1,1,,,,1,,,1,,,
116,,0,18,13,2,,,1,1,,1,1,1,1,1,-1,,,1,1,1,0,0,0,1,1,,1,,-1
50,,0,9,8,0,,,,1,,,1,1,,1,1,,,1,1,,1,,0,,,,,,
68,,0,8,7,0,,,,1,,,,,,,1,1,1,1,,1,,,0,,,1,,,
79,,0,14,9,1,,,,1,1,1,1,,1,1,-1,1,,1,1,,,0,0,0,0,,,,
81,,0,4,4,0,,,,1,,1,,,,,1,,,,,,,,,,,1,,,
97,,0,6,2,3,,,,-1,,,,0,,,,,,,,,,-1,,1,-1,1,,,
71,,0,6,5,1,,,,,1,,1,1,,,1,,1,,,,,,-1,,,,,,
77,,0,11,8,1,,,,,1,1,1,,,0,,-1,1,,1,,0,,1,,1,1,,,
83,,0,7,5,2,,,,,1,,1,,-1,-1,,,1,,,1,,,,,1,,,,
87,,0,2,2,0,,,,,1,,,,1,,,,,,,,,,,,,,,,
109,,0,7,5,0,,,,,1,,,0,1,1,0,,,,,1,,,,,1,,,,
129,,0,13,0,0,,,,,0,0,0,0,,,,,0,0,0,,0,,0,0,0,0,,,0
132,,0,9,4,0,,,,,0,0,1,,,,1,0,1,,,,1,,,,,,0,,0
9,,0,5,2,3,,,,,,1,,1,-1,,,,-1,,-1,,,,,,,,,,
32,,0,3,3,0,,,,,,1,,,,,1,,,1,,,,,,,,,,,
59,,0,1,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,
117,,0,1,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,
118,,0,12,10,2,,,,,,-1,1,1,1,,-1,1,1,,1,1,1,,,,1,,1,,
136,,0,3,3,0,,,,,,1,,,1,,,,,,,,,,,,1,,,,
91,,0,5,2,0,,,,,,,1,0,,,,1,,0,,,,,,,,,,0,
110,,0,5,3,0,,,,,,,1,,,1,,1,,,,,0,,,0,,,,,
10,,0,2,2,0,,,,,,,,1,,,,,1,,,,,,,,,,,,
26,,0,1,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,
85,,0,1,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,
23,,0,2,2,0,,,,,,,,,1,,,,1,,,,,,,,,,,,
74,,0,1,1,0,,,,,,,,,1,,,,,,,,,,,,,,,,
82,,0,1,0,1,,,,,,,,,-1,,,,,,,,,,,,,,,,
53,,0,1,0,1,,,,,,,,,,,-1,,,,,,,,,,,,,,
11,,0,3,3,0,,,,,,,,,,,,1,,1,,1,,,,,,,,,
86,,0,1,1,0,,,,,,,,,,,,1,,,,,,,,,,,,,
111,,0,2,0,0,,,,,,,,,,,,0,,,,0,,,,,,,,,
113,,0,3,2,1,,,,,,,,,,,,1,,,,,-1,,,,1,,,,
119,,0,3,3,0,,,,,,,,,,,,1,,,,1,,,,1,,,,,
24,,0,1,1,0,,,,,,,,,,,,,,1,,,,,,,,,,,
16,,0,2,0,0,,,,,,,,,,,,,,,0,,0,,,,,,,,
58,,0,1,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
72,,0,2,2,0,,,,,,,,,,,,,,,,1,,,,1,,,,,
28,,0,1,1,0,,,,,,,,,,,,,,,,,1,,,,,,,,
123,,0,4,3,1,,,,,,,,,,,,,,,,,-1,,1,,,,1,,1
62,,0,1,1,0,,,,,,,,,,,,,,,,,,,1,,,,,,
126,,0,1,0,1,,,,,,,,,,,,,,,,,,,,-1,,,,,
107,,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,1,0,,
89,,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,1,
114,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,
135,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,1,
120,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,-1
