participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
88,,0,20,9,3,1,,,1,-1,1,1,0,,-1,1,,1,0,1,,0,1,0,-1,0,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,1,76,44,15,1,1,1,-1,1,1,-1,0,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,0,1,1,-1,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,,-1,1,1,-1,1,1,1,1,1,1,-1,1,0,0,-1,0,1,0,0,0,0,0,1,0,0,-1,-1,0,1,0,,,,,0,,,0,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,
92,,0,46,37,9,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,-1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
97,,1,34,19,2,0,0,0,0,0,1,0,-1,1,1,1,0,0,0,1,1,1,0,-1,1,0,0,1,1,1,1,1,1,,,,,,,,1,,1,,,,1,,,,1,,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,0,27,17,6,1,1,1,1,1,1,-1,-1,1,1,1,0,-1,-1,1,1,0,1,-1,1,1,0,1,1,1,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,0,28,13,7,1,0,1,0,-1,1,0,0,1,1,-1,-1,0,-1,-1,1,1,1,0,1,1,1,-1,1,0,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,0,28,19,6,1,1,1,1,1,1,-1,-1,1,-1,1,1,0,-1,1,1,0,1,1,-1,0,1,1,1,1,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,0,18,16,2,1,,,-1,-1,,1,1,1,,1,1,,1,,1,,1,1,1,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,0,22,15,3,-1,,-1,1,0,1,,1,1,1,1,,1,,1,,1,1,1,0,0,,1,1,1,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,0,19,12,6,-1,,1,,,,-1,-1,1,1,,-1,-1,-1,1,1,1,1,1,1,,,1,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,0,9,4,3,1,,,,0,1,,,,,,-1,,,,,-1,1,-1,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,0,28,15,9,1,0,1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,0,1,1,-1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,0,20,15,3,1,,-1,0,1,1,,0,,1,,-1,,1,1,1,1,,-1,1,1,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,0,22,14,7,1,-1,,-1,,1,1,1,1,1,-1,,-1,-1,1,1,1,,,1,1,,1,-1,-1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,0,28,16,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,0,28,20,5,1,1,1,0,-1,1,-1,-1,1,1,1,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,0,28,17,3,1,-1,1,1,0,1,0,-1,1,1,0,0,0,1,1,1,1,1,0,1,-1,1,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,0,29,13,3,1,1,1,0,0,1,0,0,1,-1,0,0,0,1,0,1,-1,0,0,-1,0,1,1,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,1,31,16,7,1,0,1,0,0,1,0,-1,1,1,1,-1,1,-1,1,1,1,1,-1,-1,-1,0,-1,1,0,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,1,30,12,11,1,0,1,1,-1,1,0,0,1,-1,-1,-1,0,-1,-1,0,-1,-1,1,1,0,1,-1,1,-1,0,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
118,,0,29,19,8,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,0,1,-1,1,1,0,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,0,29,10,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,-1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,0,29,20,9,1,-1,1,1,1,1,-1,-1,1,1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,1,1,1,-1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,1,118,82,14,1,1,1,1,1,1,-1,0,1,1,1,-1,0,-1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,-1,1,1,0,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,1,0,1,-1,0,0,-1,1,1,1,0,1,1,1,1,0,0,-1,1,1,1,1,1,1,1,-1,1,0,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,0,1,1,0,1,1,0,1,1,,,1,,,0,,,1,,,1,,,,,1,0,,1,1,0,,-1,,,-1,,,
123,,0,27,4,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,0,18,13,3,1,-1,1,-1,0,1,-1,,1,,1,,,,1,0,1,,,1,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,0,18,10,7,-1,1,,-1,0,,-1,1,,,,,,,1,1,1,,1,-1,-1,1,1,,1,,-1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,0,30,23,3,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,0,19,18,1,1,,1,1,,1,,,1,,1,-1,1,,1,1,,1,,1,1,,,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,0,14,8,1,0,,1,1,,1,0,,,,,0,1,,1,,,,,0,,1,0,,-1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,0,20,10,3,1,1,,1,,1,0,,1,,,0,-1,0,0,1,,,1,-1,-1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,0,30,19,2,1,0,1,0,1,1,0,1,1,1,0,-1,0,0,1,1,1,1,0,-1,1,1,1,1,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,0,30,23,7,1,-1,1,1,-1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,1,31,23,8,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,0,12,11,1,1,,1,1,,,,-1,,,1,,,1,,1,,,1,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,0,31,22,1,1,0,1,0,1,1,1,0,1,1,1,-1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,0,29,15,1,0,0,0,,1,1,1,,1,0,1,0,0,0,1,1,-1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,1,32,23,2,1,0,1,1,1,1,-1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,2,124,71,27,1,-1,1,1,1,0,0,-1,1,1,1,-1,-1,-1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,-1,1,1,1,0,0,1,,1,1,1,1,-1,0,1,1,1,-1,0,1,-1,1,1,0,1,-1,-1,-1,-1,1,1,0,0,1,1,1,1,-1,1,-1,0,1,1,1,0,0,0,-1,-1,1,-1,-1,1,1,1,0,1,0,1,-1,-1,-1,1,0,1,0,1,0,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,0,0,1,-1,1,1,1,1,,,,,,,,,,,,,
149,,1,35,25,2,0,1,0,1,1,1,0,-1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,-1,0,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,0,128,81,24,1,1,1,0,1,1,-1,0,1,0,1,0,1,0,1,1,1,1,-1,1,0,1,1,1,1,-1,0,1,1,0,0,0,1,1,1,0,1,1,1,-1,1,1,,1,1,1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,-1,0,0,-1,-1,-1,0,1,-1,1,0,1,1,1,0,1,0,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,0,1,0,1,1,1,-1,0,0,1,-1,1,1,1,1,0,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,1,0,1,1,1,-1,1,1,,,,,,,,,
152,,0,35,20,7,1,0,1,1,0,1,-1,0,1,0,1,-1,0,-1,1,1,0,1,1,1,1,-1,-1,1,-1,0,1,1,1,1,-1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,1,36,23,8,-1,1,1,0,1,1,-1,0,1,1,1,-1,-1,-1,1,1,1,,-1,1,1,1,1,1,1,0,0,1,1,1,1,0,-1,1,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,0,37,23,13,-1,1,1,-1,-1,1,1,1,1,-1,1,-1,1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,0,1,1,1,1,-1,1,1,1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,1,36,10,4,0,-1,,0,0,0,0,0,1,,0,0,0,0,,,0,-1,1,0,-1,-1,0,0,0,0,1,1,,0,0,0,1,0,1,1,,,0,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,1,38,23,9,-1,-1,1,1,1,1,0,-1,0,1,1,-1,0,0,1,1,-1,1,1,1,1,1,-1,1,-1,1,0,1,0,1,-1,1,1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,0,34,14,12,1,-1,,1,0,,-1,0,1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,0,-1,0,-1,0,1,-1,,1,0,-1,-1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,0,38,27,2,1,0,1,0,0,1,1,0,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,0,-1,1,1,1,0,1,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,0,11,7,0,0,,,,,,0,,1,,1,0,0,,1,1,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,0,58,40,18,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,,1,1,-1,-1,,,,-1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,-1,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,-1,,,,,,,,,-1,,,
169,,1,39,17,10,1,-1,1,1,0,1,-1,0,1,-1,-1,-1,-1,0,0,1,0,0,0,0,-1,1,1,0,1,-1,0,1,1,1,1,0,1,-1,1,-1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,0,38,26,10,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,0,1,1,0,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,0,40,27,9,1,-1,1,0,1,1,-1,-1,1,1,1,0,-1,-1,1,1,1,1,1,1,0,1,1,1,1,-1,0,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,2,89,49,21,-1,1,1,-1,1,1,-1,1,1,1,1,-1,0,1,1,1,1,0,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,0,1,0,0,1,-1,1,1,1,1,,1,1,1,,-1,-1,1,-1,0,-1,1,1,0,1,1,0,0,-1,-1,-1,0,-1,1,,,1,0,0,1,0,1,,,,,0,1,-1,1,,,,-1,0,,1,0,1,,,1,,-1,-1,0,,0,0,1,,,,,1,-1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,0,41,19,14,0,0,0,1,-1,1,-1,0,-1,1,1,-1,0,-1,1,1,1,1,1,1,0,-1,1,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,1,1,1,-1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,1,42,34,4,1,1,1,1,1,1,-1,-1,1,1,1,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,0,42,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,-1,0,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,0,42,24,8,1,0,1,0,1,1,0,0,1,0,-1,0,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,0,1,1,1,-1,1,0,1,-1,0,1,0,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,0,49,26,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,-1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,0,27,17,3,1,,1,1,0,,0,-1,1,,1,,1,,,1,1,1,,,-1,0,,1,0,0,,1,1,1,0,1,0,1,,1,,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,0,26,16,5,1,,1,1,,,-1,-1,1,-1,,0,,0,1,1,1,1,1,,,-1,,1,1,-1,0,,1,,,0,,1,1,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,0,27,21,6,1,,1,-1,,1,,1,1,1,1,-1,1,,1,,1,,-1,1,1,,1,1,1,-1,,1,1,,-1,-1,,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,0,31,20,3,1,1,,0,0,,0,,1,0,,-1,-1,-1,1,1,1,1,0,1,1,1,1,1,1,0,,1,,,,0,1,1,,1,1,,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,0,61,38,17,-1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,1,1,1,1,1,1,-1,,1,1,1,0,-1,1,1,1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,,,1,-1,1,,,1,,1,,,,1,1,,0,-1,0,,0,0,,1,1,1,1,1,1,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,0,69,22,8,0,0,0,0,0,0,-1,-1,1,1,0,-1,0,0,1,1,-1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,,0,1,,0,,1,0,0,,,1,0,,,,,,1,0,,-1,0,0,0,,,,,,,1,,0,,,-1,,0,-1,0,,0,0,,,,,,,,0,0,,,,,,,,,0,,,,,-1,,,1,,,,,,,,0,,,,,,,1,,0,,,,,,,,,,,,
199,,0,42,30,7,-1,1,1,1,1,1,-1,-1,1,1,1,-1,0,-1,1,1,1,1,1,1,0,1,1,0,1,-1,0,1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,0,17,11,2,0,1,,,,,0,,,1,,,,,,1,,,,1,0,1,,1,1,,,1,1,,-1,,,,,0,,,-1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,3,82,60,16,0,1,1,1,-1,1,-1,-1,1,0,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,1,1,0,0,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,0,-1,1,1,1,-1,1,1,-1,-1,1,1,-1,1,-1,1,1,1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
