n_disagree,id,idx,comment_body,percentage,n_agree
9,17,46,只透過制度來防治濫用是治標不治本，因為資源是有限的，把更多資源花在防弊上，就會相對地減少花在醫療上的資源。 全民健保要能成功，一定要推廣醫療普及教育，讓大家都有正確的醫療觀念，才能減少濫用跟糾紛，從源頭改善健保的體質。,93.33,126
13,18,34,現在的健保透過不斷壓榨醫療產業，創造出便宜健保的假象，醫療是昂貴的，我們應該回歸正常的成本，公開透明成本結構的資訊，培養新創公司切入發明或改善醫療的效率，效率改善了，成本才是真正的降低，大家才有真的便宜健保。,93.22,179
16,19,13,柯文哲：現行健保論量計酬方式不好 | 即時新聞 | 20151019 | 蘋果日報 http://t.co/EOMIpwa0P2,93.01,213
8,20,52,我認為太多老人已經把看病當成一種社交活動了，其中納稅人的錢就是這樣被一點一滴消耗殆盡的，希望有更完善的社區福利機制去填補老人社交的缺口。,92.79,103
14,21,44,健保應該要有實際在台居留期限的基本門檻，未達門檻者保費要有倍數差異，讓外國僑民或長期在外國工作者負擔合理的成本。,91.95,160
12,22,35,我覺得應該要趁健保準備金充足的時候，將準備金投入檢討包含點數給付制度在內的健保體制，還給醫療從業人員應有的醫療環境，而不是看錢夠了引用所謂的「收支連動機制」來調降保費。,91.89,136
2,23,74,應該設立機制，讓對願意治療高風險個案的醫師，有更好的給付標準，讓這些醫師願意留在第一線。,91.66,22
13,24,43,我覺得即使是無能力負擔者也有可能因錯誤觀念而濫用健保資源，分級、轉診制度要落實，從大醫院到小診所要分清楚。我們越來越邁向高齡社會，健保資源要求越來越高，但我們不能只要求有錢人分擔，這樣很不切實際，因為不平等。但按量計費是一定要的，若要解決根本問題則是分級制度和基本觀念要執行徹底。,91.09,133
10,25,47,"為甚看醫生, 最後一定要拿藥, 有時只是需要諮詢, 關於這部份的需求, 是不是有些管道可以cover.",90.99,101
27,26,20,應該先從高頻率的看診次數設定增加收費，避免有人天天都拿藥，另外再排除低收入戶跟真的需要常態性就醫的病患,90.68,263
5,27,64,我覺得要重新規劃偏鄉醫療的政策，如台東縣南迴醫院的籌建至今仍未見確切日期，然而地區性的醫療資源會影響的不僅是當地居民，也包含到該區遊玩的遊客（意外時刻分秒必爭），與島上的每個人都切身相關。健保費相等，救醫資源卻落差甚大的情況下，偏鄉醫療不能只靠民間，政府勢必要有重新的規劃。,90.38,47
11,28,53,很多時候很多事情問題的癥結點，制度本身占比並不高，而是民眾觀念的問題。教育是很重要的一環，必須教育民眾對健保的認知為一種珍貴的資源，而非廉價的。,90.09,100
31,29,19,希望健保局能提供詳細透明的數據，平均一人花多少保費，使用多少資源，峰值是什麼時候，才有辦法對症下藥，破產的方式百百種，霧裡看花怎麼醫也醫不好。,89.12,254
32,30,16,如果藥都比糖便宜，健保的給付給醫療團隊單位，反成了一個社會安慰劑，而不是醫療本身。,88.73,252
9,31,57,我覺得落實醫療分級制度很重要，但需要先建立能夠被信任的社區診所或家庭醫生，但其轉診制度，及醫病關係在遇到爭議時，是否有制度協助第一線的醫師與病人溝通。此外，同一個病兆但不同醫生有不同看法，有時令病人需一家家詢問，這可能也成為一病就往大醫院跑的原因之一。,88.6,70
18,32,25,原廠藥一直被奇怪的政策排擠，而非市場機制。可否公佈各台廠藥的股東狀況與顧問階級。過去也是因為這樣才知道某內政部長鼓勵大家多往xx地區租房，結果他岳父是該地區大地主.....,88.07,133
31,33,26,我覺得健保應按使用量調整費用 (無力負擔者另案處理)。 台灣每人每年就醫次數是歐美國家的2倍到3倍，費用若沒有按使用量調整，就只會造成浪費與醫療人員的疲於奔命。,87.24,212
21,34,41,台灣的醫院，不只單純的醫療，還可以導入設計的觀念，提供更符合患者需求的軟硬體服務。,83.33,105
7,35,77,我覺得不應該補助任何外國藉的學生 40% 健保保費。,81.08,30
5,36,71,華人文化圈，一定要用個人健康儲蓄帳戶，如新加坡般，大家才會自我健康管理!,80,20
39,37,30,醫療人員的工作環境是全民的事情；也是全民的責任，相對的也是全民必須去尊敬；以及關懷的地方，不過仍有少數人會去破壞這樣的環境，或者間接引響他人的安全，所以是否健保要去處理這一塊?在醫院保全上是否要有類似警察強制力來維持這一塊?,78.91,146
39,38,36,醫生不該靠民眾「生病」賺錢，而該靠民眾「健康」賺錢,78.45,142
59,39,18,健保本身不該當成社福機制，應該要以強制險的方式運作，就是個最基本的醫療保險。有錢人可以買其他商業保險或得更好的保障，無法負擔者才需要另外建立社福機制去補助。健保本身應與社福脫鉤，否則有違『保險』本意。,77.56,204
32,40,38,"需要有健保社會保險化：「保大病，不保小病。」的前提下： 計算各年齡層合理的醫療花費，將部分預算挪用成立""醫療券""，專門用於社區醫療作為一般民眾看小病及做健檢的花費項目，並可紓緩急診醫療被濫用的情況，額度在合理範圍內可累積，額度用完後再就診即為完全自費。",76.97,107
7,41,70,強制公立醫院的護士執行3班制，是否有可能達成,76.66,23
24,42,49,我認為住院病房的健保房應斟酌收費，可減少超長住院的現況。（以台大醫院為例目前：單人房3600up、雙人房1600元up、健保房0元。）,75.51,74
25,43,56,小感冒等不嚴重的病應該漸漸減少給付，應以治療急重症為主。,74.74,74
4,44,75,既然審查醫師在具名核刪標準上常有歧見，那這個兩敗俱傷、省小(給付節約)賠大(人力流失)制度應該取消，從其他方式來樽節。,73.33,11
8,45,76,我覺得健保對待中華人民共和國藉的人士，應該和對待其他國家的人民一樣。,72.41,21
58,46,24,我覺得以年收入 (薪資所得降低比重，資本利得提高比重) 來設定保費繳納區間會比較妥當。加上滯留在台灣的時間與歷年使用次數與年紀 (比方出過車禍的保費明年會提高)。,70.7,140
41,47,31,我覺得健選票壓力導致健保破產，申請款項的名目太多也導致健保破產。,69.85,95
7,48,73,應該設立浮動給付機制，使用率越高、重複看診比率越高的人，下季自負額就要依比率提高，直到回到平均值才下降。,69.56,16
94,49,6,我覺得健保系統應該要能連結保險資料庫，如果有重複加保，則理賠或給付少一些？,68.24,202
10,50,69,"應先由使用的民眾全額付費,之後再由民眾拿依據自行去健保局申請費用,且要同時作好配套措施,例如政府應該研擬使申請管道便利；協助負擔不起的民眾先向銀行貸款之後再申請健保還款；應把資金缺口風險和照顧人民的責任平均分攤,而不是吃飽了再核刪這樣醫院都只會把缺口轉嫁到醫療人員身上",65.51,19
135,51,5,我覺得要讓付得起的人多付一些，付不起的就全額給付,60.41,206
10,52,66,我覺得是否依醫院大小區分掛號方式與機制，掛號就得看完一個人能分到的時間剩多少呢,60,15
199,53,14,問柯文哲根本問錯人了吧,20.39,51
20,54,78,我覺得現行補助外藉學生 40% 可保留，但不應補助中華人民共和國藉的學生。,20,5
109,55,40,廢除健保  改設 醫療貸款,12.09,15
